tsne_one,tsne_two,Label
38.22,18.91,Normal
-11.88,-14.05,Normal
-24.68,-23.99,Normal
-44.95,13.31,Normal
-37.28,22.67,Normal
54.01,-27.64,Exploits
54.01,-27.64, Fuzzers 
54.01,-27.64,Exploits
54.01,-27.64,Exploits
54.01,-27.64,Exploits
54.01,-27.64,Backdoor
54.01,-27.64,Exploits
17.17,23.37,Exploits
-31.11,-6.32,Normal
11.01,40.41,Normal
10.98,-17.95,Normal
-30.49,32.86,Normal
29.87,6.59,Normal
-23.51,-12.29,Normal
15.32,-23.01,Normal
-36.22,32.98,Normal
-11.56,-22.94,Normal
-6.43,-23.62,Normal
1.1,-4.98,Normal
34.82,-2.99,Normal
3.68,-15.89,Normal
23.87,-42.87,Normal
34.92,-2.94,Normal
41.91,-9.46,Normal
-20.35,5.15,Normal
-2.46,14.73,Normal
10.97,-28.33,Normal
10.26,-28.69,Normal
16.98,-17.61,Normal
-29.4,6.13,Normal
-4.31,-31.59,Normal
17.85,-9.88,Normal
-31.72,-27.31,Normal
10.29,8.88,Normal
-18.27,11.3,Normal
-7.37,-39.86,Normal
-18.96,-10.31,Normal
54.01,-27.64,Normal
54.01,-27.64,Exploits
54.01,-27.64,DoS
54.01,-27.64,Exploits
54.01,-27.64,Exploits
54.01,-27.64,DoS
54.01,-27.64,Exploits
54.01,-27.64,Exploits
54.01,-27.64,Generic
54.01,-27.64,DoS
54.01,-27.64,Exploits
54.01,-27.64, Reconnaissance 
54.01,-27.64,DoS
19.21,-2.53,Exploits
37.53,-5.92,Normal
-30.47,-1.77,Normal
30.45,19.59,Normal
33.34,6.73,Normal
8.47,-52.11,Normal
-5.84,20.37,Normal
27.43,-22.3,Normal
-33.9,25.4,Normal
-16.56,30.38,Normal
-36.43,-38.13,Normal
29.99,20.29,Normal
-26.85,-56.78,Normal
-26.85,-56.78,Normal
-7.2,-34.87,Normal
-31.27,-39.74,Normal
20.26,-24.78,Normal
19.43,37.99,Normal
-13.19,14.14,Normal
42.91,-19.32,Normal
29.42,2.4,Normal
-3.38,33.23,Normal
9.77,30.69,Normal
-21.27,30.45,Normal
-13.69,19.49,Normal
3.89,-23.71,Normal
10.4,-47.99,Normal
11.11,27.79,Normal
28.76,-16.51,Normal
15.75,-24.75,Normal
1.25,-32.01,Normal
-39.28,2.45,Normal
-11.67,40.57,Normal
45.5,-15.11,Normal
4.25,34.75,Normal
38.23,18.9,Normal
-27.44,26.57,Normal
19.99,19.37,Normal
-1.92,-40.97,Normal
8.77,22.18,Normal
-38.46,4.1,Normal
-38.39,-24.98,Normal
26.64,-15.79,Normal
30.4,-13.01, Reconnaissance 
-49.06,-24.47,Exploits
-43.48,-9.93,Generic
11.07,-9.04,Normal
37.85,-4.68,Normal
24.3,-4.59,Normal
-6.3,1.76,Normal
14.81,12.19,Normal
-7.31,6.52,Normal
-23.54,36.37,Normal
-10.92,-9.52,Normal
-26.48,-24.19,Normal
37.27,-6.58,Normal
31.93,-34.2,Normal
-18.15,-23.53,Normal
39.41,-24.07,Normal
-28.31,-10.63,Normal
-10.04,-17.21,Normal
-16.23,-25.37,Normal
39.45,-20.01,Normal
42.52,-20.92,Normal
7.54,22.88,Normal
14.9,-23.26,Normal
-20.04,-21.85,Normal
-28.44,-18.7,Normal
-16.01,25.42,Normal
-1.92,-40.97,Normal
26.76,31.36,Normal
-21.95,-9.65,Normal
-23.87,-33.75,Normal
1.52,31.72,Normal
-9.02,-23.5,Normal
-10.03,15.55,Normal
-11.53,0.16,Normal
-6.85,-18.93,Normal
38.05,3.88,Normal
28.79,30.22,Normal
3.16,-27.77,Normal
-26.14,12.54,Normal
3.46,17.5,Normal
-14.74,-14.16,Normal
33.34,-4.58,Normal
-40.02,14.86,Normal
-33.56,2.08,Normal
-22.06,-14.0,Normal
28.79,30.22,Normal
47.28,-2.37,Normal
42.25,7.19,Normal
20.75,-28.86,Normal
3.43,17.31,Normal
30.24,13.77,Normal
-4.84,-28.62,Normal
-41.72,21.98,Normal
-23.79,6.59,Normal
-1.64,26.47,Normal
20.12,13.43,Normal
27.83,20.83,Normal
-1.42,-39.56,Normal
16.46,31.22,Normal
9.51,-4.37,Normal
-16.37,32.03,Normal
-40.35,8.29,Normal
-40.76,28.55,Normal
30.24,13.77,Normal
-13.41,40.49,Normal
-36.67,-37.46,Normal
-16.07,32.51,Normal
16.43,-11.72,Normal
31.55,-0.37,Exploits
12.51,28.56,Exploits
11.81,11.11,Normal
19.33,-12.36,Normal
8.02,24.12,Normal
-18.52,14.62,Normal
-42.6,-4.37,Normal
2.8,25.07,Normal
20.85,31.06,Normal
-19.87,-1.0,Normal
24.45,-42.75,Normal
2.58,24.8,Normal
29.76,3.34,Normal
-32.19,-40.61,Normal
16.4,38.8,Normal
15.66,-12.96,Normal
1.82,41.16,Normal
51.28,-13.31,Normal
25.67,4.43,Normal
-7.38,7.65,Normal
8.12,23.71,Normal
-0.87,19.95,Normal
21.73,-8.7,Normal
-23.97,-17.28,Normal
30.88,-35.67,Normal
-28.72,-11.92,Normal
-42.42,-11.66,Normal
15.21,8.43,Normal
33.06,1.52,Exploits
38.87,-2.39,Normal
-18.7,1.37,Normal
12.75,0.55,Normal
-20.89,-8.6,Normal
-38.1,25.02,Normal
-23.99,39.57,Normal
-40.02,-0.3,Normal
39.92,-25.56,Normal
-22.21,29.06,Normal
-10.19,-9.19,Normal
-31.11,-6.32,Normal
3.18,16.32,Normal
-28.25,30.17,Normal
-4.15,13.07,Normal
5.04,43.36,Normal
21.2,4.26,Normal
-31.11,-6.32,Normal
-11.22,-41.16,Normal
13.31,-23.99,Normal
-37.75,25.14,Normal
-31.11,-6.32,Normal
4.25,-9.15,Normal
-9.8,5.8, Reconnaissance 
-20.98,8.17,Normal
-1.42,30.11,Normal
-1.45,26.63,Normal
-19.61,13.86,Normal
-24.26,-23.93,Normal
9.87,-22.59,Normal
39.56,17.47,Normal
1.21,43.21,Normal
33.1,28.57,Normal
-7.49,0.5,Normal
-25.06,25.87,Normal
-3.69,-28.91,Normal
-20.73,13.56,Normal
42.13,0.55,Normal
-26.26,5.56,Normal
29.01,-3.14,Normal
-32.35,28.31,Normal
-1.64,26.47,Normal
-37.1,22.66,Normal
7.55,7.06,Normal
-9.8,5.8,Normal
-38.21,23.62,Normal
-1.96,-28.8,Normal
-21.46,19.45,Normal
-24.39,-41.83,Exploits
32.33,-21.55, Reconnaissance 
5.06,-2.44,Normal
21.35,0.32,Normal
23.62,13.58,Normal
-38.69,1.45,Normal
-17.16,-28.72,Normal
-9.15,37.28,Normal
11.81,6.7,Normal
1.14,-1.03,Normal
31.77,-29.72,Normal
21.16,-8.47,Normal
17.4,-3.12,Normal
-2.25,12.48,Normal
24.98,-23.92,Normal
42.38,5.54,Normal
30.07,-40.81,Normal
6.63,-33.61,Normal
21.2,-42.44,Normal
-2.39,6.34,Normal
-11.19,-23.24,Normal
-9.94,31.15,Normal
-4.77,23.81,Normal
-3.07,39.1,Normal
9.18,-15.57,Normal
-15.87,10.37,Normal
-37.84,-25.49,Normal
-18.8,3.72,Normal
39.45,-20.25,Normal
27.63,-9.92,Normal
24.24,-1.51,Normal
33.84,30.67,Normal
-38.31,-11.59,Normal
40.21,-23.75,Normal
-20.58,-26.03,Normal
9.31,-9.42,Normal
-3.49,20.37,Normal
-47.48,-11.34,Normal
15.25,-11.55,Normal
-5.12,11.42,Normal
30.03,29.6,Normal
-28.01,-13.68,Normal
9.58,16.2,Normal
4.27,21.75,Normal
7.41,25.66,Normal
-30.37,11.68,Normal
20.79,-6.48,Normal
-1.47,17.41,Normal
-15.67,-11.42,Normal
-14.84,1.45,Normal
-10.56,-13.31,Normal
7.75,41.75,Normal
-57.68,-13.07,Normal
-2.38,-48.33, Reconnaissance 
5.49,-25.82,Normal
4.36,6.84,Normal
-12.34,-11.68,Normal
8.74,-33.45,Normal
-6.85,-18.93,Normal
6.76,-30.33,Normal
-48.66,7.28,Normal
-29.4,6.13,Normal
-1.43,-50.26,Normal
-9.42,-8.38,Normal
-43.53,26.78,Normal
-37.34,27.26,Normal
-20.8,9.95,Normal
-33.36,7.95,Normal
-33.9,14.35,Normal
-29.08,34.01,Normal
-18.02,-6.37,Normal
11.99,-0.14,Normal
-25.58,-6.62,Normal
-40.0,19.51,Normal
-0.9,-38.31,Normal
35.42,6.46,Normal
-6.89,-31.65,Normal
5.0,-13.86,Normal
-24.92,-30.09,Exploits
29.84,17.22,Exploits
26.0,22.68,Normal
15.35,19.72,Normal
38.14,18.97,Normal
-30.79,1.09,Normal
-32.84,-3.23,Normal
11.05,25.08,Normal
-9.6,39.76,Normal
-10.23,29.43,Normal
21.35,-12.08,Normal
31.93,-39.06,Normal
-25.63,-6.41,Normal
-23.07,41.05,Normal
0.25,10.2,Normal
-22.3,3.17,Normal
17.36,38.46,Normal
-18.64,28.11,Normal
28.7,-1.63,Normal
-18.51,-3.84,Normal
20.21,-6.93,Normal
7.36,12.07,Normal
-10.93,-23.86,Normal
51.28,-13.31,Normal
-27.72,24.25,Normal
-21.19,13.92,Normal
33.47,16.07,Normal
-2.25,-25.25,Normal
-10.07,5.59,Normal
35.78,-5.81,Normal
-1.64,-29.39,Normal
-25.63,-6.44,Normal
-24.17,-23.91,Normal
39.92,-25.53,Normal
0.17,23.37,Normal
-25.14,-8.24,Normal
42.38,-26.22,Normal
