group,variable,value
proto,proto,1
proto,state,-0.090787798
proto,dur,-0.301475751
proto,sbytes,-0.012836229
proto,dbytes,-0.039657839
proto,sttl,0.001065187
proto,dttl,-0.058767029
proto,sloss,-0.033306995
proto,dloss,-0.051149707
proto,service,0.061666295
proto,Sload,0.09975785
proto,Dload,-0.085207675
proto,Spkts,-0.071452074
proto,Dpkts,-0.060795439
proto,swin,-0.198943727
proto,dwin,-0.198040118
proto,stcpb,-0.154334349
proto,dtcpb,-0.154306447
proto,Sjit,-0.02250282
proto,Djit,-0.098229804
proto,Sintpkt,-0.497699634
proto,Dintpkt,-0.368572635
proto,tcprtt,-0.0266971
state,proto,-0.090787798
state,state,1
state,dur,0.09047249
state,sbytes,-0.003727268
state,dbytes,0.019437958
state,sttl,0.435291734
state,dttl,-0.165783455
state,sloss,0.009716619
state,dloss,0.026300926
state,service,0.063863554
state,Sload,0.360299999
state,Dload,0.000570124
state,Spkts,0.031097046
state,Dpkts,0.023026521
state,swin,0.115260338
state,dwin,0.101980384
state,stcpb,0.079500255
state,dtcpb,0.07921753
state,Sjit,0.007598631
state,Djit,0.020038156
state,Sintpkt,0.009653811
state,Dintpkt,-0.067289299
state,tcprtt,-0.037508072
dur,proto,-0.301475751
dur,state,0.09047249
dur,dur,1
dur,sbytes,0.144617468
dur,dbytes,0.24458345
dur,sttl,0.015141458
dur,dttl,0.059052608
dur,sloss,0.155196343
dur,dloss,0.245922154
dur,service,0.004439798
dur,Sload,-0.068683848
dur,Dload,-0.063581504
dur,Spkts,0.280335097
dur,Dpkts,0.253823518
dur,swin,0.040993086
dur,dwin,0.034152069
dur,stcpb,0.025787625
dur,dtcpb,0.025963996
dur,Sjit,0.125808429
dur,Djit,0.188324801
dur,Sintpkt,0.274902563
dur,Dintpkt,0.358853193
dur,tcprtt,0.051188171
sbytes,proto,-0.012836229
sbytes,state,-0.003727268
sbytes,dur,0.144617468
sbytes,sbytes,1
sbytes,dbytes,0.035740745
sbytes,sttl,-0.008050294
sbytes,dttl,0.06902077
sbytes,sloss,0.972981898
sbytes,dloss,0.038334116
sbytes,service,0.082719619
sbytes,Sload,-0.022835027
sbytes,Dload,-0.000819009
sbytes,Spkts,0.702822373
sbytes,Dpkts,0.113230131
sbytes,swin,0.054456107
sbytes,dwin,0.054712239
sbytes,stcpb,0.04315725
sbytes,dtcpb,0.041582791
sbytes,Sjit,0.001504944
sbytes,Djit,0.001687248
sbytes,Sintpkt,-0.002743407
sbytes,Dintpkt,-0.000893524
sbytes,tcprtt,0.021463415
dbytes,proto,-0.039657839
dbytes,state,0.019437958
dbytes,dur,0.24458345
dbytes,sbytes,0.035740745
dbytes,dbytes,1
dbytes,sttl,-0.111149153
dbytes,dttl,0.020861184
dbytes,sloss,0.087926675
dbytes,dloss,0.991260432
dbytes,service,-0.006324384
dbytes,Sload,-0.085062461
dbytes,Dload,0.12402992
dbytes,Spkts,0.64120822
dbytes,Dpkts,0.969459075
dbytes,swin,0.199433873
dbytes,dwin,0.200349
dbytes,stcpb,0.154294538
dbytes,dtcpb,0.156148408
dbytes,Sjit,0.01790222
dbytes,Djit,0.156373817
dbytes,Sintpkt,-0.009919317
dbytes,Dintpkt,-0.007916396
dbytes,tcprtt,-0.014078885
sttl,proto,0.001065187
sttl,state,0.435291734
sttl,dur,0.015141458
sttl,sbytes,-0.008050294
sttl,dbytes,-0.111149153
sttl,sttl,1
sttl,dttl,0.067820418
sttl,sloss,-0.064874617
sttl,dloss,-0.140826981
sttl,service,-0.07096475
sttl,Sload,0.200827217
sttl,Dload,-0.289795779
sttl,Spkts,-0.161067037
sttl,Dpkts,-0.169334576
sttl,swin,-0.38947577
sttl,dwin,-0.39822598
sttl,stcpb,-0.310670302
sttl,dtcpb,-0.310927208
sttl,Sjit,0.03882296
sttl,Djit,-0.125029238
sttl,Sintpkt,-0.033149236
sttl,Dintpkt,-0.019381244
sttl,tcprtt,0.143138705
dttl,proto,-0.058767029
dttl,state,-0.165783455
dttl,dur,0.059052608
dttl,sbytes,0.06902077
dttl,dbytes,0.020861184
dttl,sttl,0.067820418
dttl,dttl,1
dttl,sloss,0.086465071
dttl,dloss,0.030112215
dttl,service,0.057811529
dttl,Sload,-0.249644551
dttl,Dload,-0.002329177
dttl,Spkts,0.072257172
dttl,Dpkts,0.0413034
dttl,swin,0.396349428
dttl,dwin,0.398869521
dttl,stcpb,0.311021146
dttl,dtcpb,0.309337001
dttl,Sjit,0.16721551
dttl,Djit,0.105171918
dttl,Sintpkt,-0.013490053
dttl,Dintpkt,0.022329864
dttl,tcprtt,0.481862064
sloss,proto,-0.033306995
sloss,state,0.009716619
sloss,dur,0.155196343
sloss,sbytes,0.972981898
sloss,dbytes,0.087926675
sloss,sttl,-0.064874617
sloss,dttl,0.086465071
sloss,sloss,1
sloss,dloss,0.115765901
sloss,service,0.082500342
sloss,Sload,-0.070070671
sloss,Dload,0.055754427
sloss,Spkts,0.785959828
sloss,Dpkts,0.210335272
sloss,swin,0.167419191
sloss,dwin,0.167468571
sloss,stcpb,0.131005472
sloss,dtcpb,0.129207671
sloss,Sjit,0.005635968
sloss,Djit,0.02607235
sloss,Sintpkt,-0.008021456
sloss,Dintpkt,-0.004313633
sloss,tcprtt,0.018562153
dloss,proto,-0.051149707
dloss,state,0.026300926
dloss,dur,0.245922154
dloss,sbytes,0.038334116
dloss,dbytes,0.991260432
dloss,sttl,-0.140826981
dloss,dttl,0.030112215
dloss,sloss,0.115765901
dloss,dloss,1
dloss,service,0.005142988
dloss,Sload,-0.109031535
dloss,Dload,0.155424363
dloss,Spkts,0.675774062
dloss,Dpkts,0.990896549
dloss,swin,0.2571081
dloss,dwin,0.258283945
dloss,stcpb,0.199457072
dloss,dtcpb,0.201230784
dloss,Sjit,0.017005901
dloss,Djit,0.154916062
dloss,Sintpkt,-0.012851454
dloss,Dintpkt,-0.009943207
dloss,tcprtt,-0.015829333
service,proto,0.061666295
service,state,0.063863554
service,dur,0.004439798
service,sbytes,0.082719619
service,dbytes,-0.006324384
service,sttl,-0.07096475
service,dttl,0.057811529
service,sloss,0.082500342
service,dloss,0.005142988
service,service,1
service,Sload,-0.017780183
service,Dload,-0.281139343
service,Spkts,0.044672953
service,Dpkts,0.019615598
service,swin,0.102053334
service,dwin,0.10580634
service,stcpb,0.082505941
service,dtcpb,0.079661771
service,Sjit,0.026672717
service,Djit,0.255038722
service,Sintpkt,-0.0391128
service,Dintpkt,-0.025079535
service,tcprtt,-0.008455874
Sload,proto,0.09975785
Sload,state,0.360299999
Sload,dur,-0.068683848
Sload,sbytes,-0.022835027
Sload,dbytes,-0.085062461
Sload,sttl,0.200827217
Sload,dttl,-0.249644551
Sload,sloss,-0.070070671
Sload,dloss,-0.109031535
Sload,service,-0.017780183
Sload,Sload,1
Sload,Dload,-0.213748569
Sload,Spkts,-0.142465521
Sload,Dpkts,-0.133864892
Sload,swin,-0.419221786
Sload,dwin,-0.418376143
Sload,stcpb,-0.32603454
Sload,dtcpb,-0.32598689
Sload,Sjit,-0.036100591
Sload,Djit,-0.117550855
Sload,Sintpkt,-0.023283422
Sload,Dintpkt,-0.021112627
Sload,tcprtt,-0.057243638
Dload,proto,-0.085207675
Dload,state,0.000570124
Dload,dur,-0.063581504
Dload,sbytes,-0.000819009
Dload,dbytes,0.12402992
Dload,sttl,-0.289795779
Dload,dttl,-0.002329177
Dload,sloss,0.055754427
Dload,dloss,0.155424363
Dload,service,-0.281139343
Dload,Sload,-0.213748569
Dload,Dload,1
Dload,Spkts,0.199196737
Dload,Dpkts,0.174134206
Dload,swin,0.456637732
Dload,dwin,0.458963802
Dload,stcpb,0.358459483
Dload,dtcpb,0.360057121
Dload,Sjit,-0.038520801
Dload,Djit,-0.114799108
Dload,Sintpkt,-0.028730537
Dload,Dintpkt,-0.02330386
Dload,tcprtt,-0.059484137
Spkts,proto,-0.071452074
Spkts,state,0.031097046
Spkts,dur,0.280335097
Spkts,sbytes,0.702822373
Spkts,dbytes,0.64120822
Spkts,sttl,-0.161067037
Spkts,dttl,0.072257172
Spkts,sloss,0.785959828
Spkts,dloss,0.675774062
Spkts,service,0.044672953
Spkts,Sload,-0.142465521
Spkts,Dload,0.199196737
Spkts,Spkts,1
Spkts,Dpkts,0.747620167
Spkts,swin,0.329541078
Spkts,dwin,0.330897331
Spkts,stcpb,0.257041106
Spkts,dtcpb,0.256865726
Spkts,Sjit,0.011726822
Spkts,Djit,0.104097628
Spkts,Sintpkt,-0.016237558
Spkts,Dintpkt,-0.011171261
Spkts,tcprtt,-0.005861672
Dpkts,proto,-0.060795439
Dpkts,state,0.023026521
Dpkts,dur,0.253823518
Dpkts,sbytes,0.113230131
Dpkts,dbytes,0.969459075
Dpkts,sttl,-0.169334576
Dpkts,dttl,0.0413034
Dpkts,sloss,0.210335272
Dpkts,dloss,0.990896549
Dpkts,service,0.019615598
Dpkts,Sload,-0.133864892
Dpkts,Dload,0.174134206
Dpkts,Spkts,0.747620167
Dpkts,Dpkts,1
Dpkts,swin,0.307678289
Dpkts,dwin,0.309124134
Dpkts,stcpb,0.239176589
Dpkts,dtcpb,0.240674788
Dpkts,Sjit,0.018103997
Dpkts,Djit,0.16157285
Dpkts,Sintpkt,-0.015345564
Dpkts,Dintpkt,-0.010845309
Dpkts,tcprtt,-0.017474506
swin,proto,-0.198943727
swin,state,0.115260338
swin,dur,0.040993086
swin,sbytes,0.054456107
swin,dbytes,0.199433873
swin,sttl,-0.38947577
swin,dttl,0.396349428
swin,sloss,0.167419191
swin,dloss,0.2571081
swin,service,0.102053334
swin,Sload,-0.419221786
swin,Dload,0.456637732
swin,Spkts,0.329541078
swin,Dpkts,0.307678289
swin,swin,1
swin,dwin,0.995435615
swin,stcpb,0.77575645
swin,dtcpb,0.775616662
swin,Sjit,0.083403133
swin,Djit,0.266232464
swin,Sintpkt,-0.040182217
swin,Dintpkt,-0.017254959
swin,tcprtt,0.134057722
