"First_PC,Second_PC,Label"
"0.565,-0.115,0"
"-0.716,-0.355,0"
"0.96,-0.017,0"
"-0.715,-0.356,0"
"0.572,-0.106,0"
"0.461,0.905,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"0.866,-0.035,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"0.872,-0.049,0"
"0.704,-0.105,0"
"0.736,-0.067,0"
"0.718,-0.07,0"
"0.829,-0.054,0"
"0.534,-0.139,0"
"0.735,-0.067,0"
"0.87,-0.039,0"
"-0.721,-0.354,0"
"0.71,-0.113,0"
"0.873,-0.033,0"
"-0.718,-0.356,0"
"0.683,-0.093,0"
"0.719,-0.098,0"
"0.997,-0.036,0"
"0.935,-0.018,0"
"0.829,-0.042,0"
"0.832,-0.042,0"
"0.833,-0.066,0"
"-0.715,-0.355,0"
"0.845,-0.04,0"
"1.089,0.014,0"
"0.754,-0.068,0"
"0.897,-0.027,0"
"1.003,-0.032,0"
"1.004,-0.023,0"
"1.156,0.008,0"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"-0.898,0.501,1"
"0.825,-0.086,0"
"-0.721,-0.354,0"
"0.707,-0.072,0"
"0.808,-0.053,0"
"0.742,-0.069,0"
"-0.715,-0.355,0"
"-0.715,-0.355,0"
"0.874,-0.099,0"
"0.688,-0.079,0"
"0.624,-0.098,0"
"-0.715,-0.356,0"
"0.807,-0.05,0"
"-0.693,-0.424,0"
"-0.693,-0.424,0"
"-0.716,-0.355,0"
"-0.715,-0.356,0"
"0.82,-0.056,0"
"-0.716,-0.355,0"
"-0.715,-0.355,0"
"-0.718,-0.356,0"
"0.837,-0.094,0"
"0.662,-0.105,0"
"-0.716,-0.355,0"
"0.721,-0.096,0"
"0.906,-0.025,0"
"-0.721,-0.354,0"
"-0.716,-0.355,0"
"0.85,-0.051,0"
"0.8,-0.051,0"
"1.066,0.004,0"
"0.88,-0.08,0"
