proto,Normal,Attack
igmp,16,0
rtp,2,0
ggp,0,39
ip,0,39
ipnip,0,39
st2,0,39
argus,0,39
bbn-rcc,0,39
egp,0,39
emcon,0,39
igp,0,39
nvp,0,39
pup,0,39
xnet,0,39
cbt,0,39
chaos,0,39
mux,0,39
dcn,0,39
hmp,0,39
prm,0,39
xns-idp,0,39
trunk-1,0,39
trunk-2,0,39
leaf-2,0,39
leaf-1,0,39
irtp,0,39
rdp,0,39
iso-tp4,0,39
netblt,0,39
mfe-nsp,0,39
merit-inp,0,39
sep,0,60
3pc,0,39
idpr,0,39
xtp,0,39
idpr-cmtp,0,39
ddp,0,39
tp++,0,39
il,0,39
ipv6,0,78
sdrp,0,39
ipv6-route,0,39
ipv6-frag,0,39
idrp,0,39
rsvp,0,78
mhrp,0,39
bna,0,39
i-nlsp,0,39
swipe,0,64
narp,0,39
mobile,0,64
skip,0,39
tlsp,0,39
ipv6-no,0,39
ipv6-opts,0,39
sat-expak,0,39
cftp,0,39
kryptolan,0,39
ippc,0,39
rvd,0,39
sat-mon,0,39
visa,0,39
cphb,0,39
cpnx,0,39
ipcv,0,39
pvp,0,39
wsn,0,39
br-sat-mon,0,39
sun-nd,0,64
wb-mon,0,39
iso-ip,0,39
wb-expak,0,39
secure-vmtp,0,39
vines,0,39
vmtp,0,39
dgp,0,39
nsfnet-igp,0,39
ttp,0,39
tcf,0,39
eigrp,0,39
sprite-rpc,0,39
larp,0,39
mtp,0,39
ax.25,0,39
ipip,0,39
aes-sp3-d,0,39
micp,0,39
encap,0,39
etherip,0,39
pri-enc,0,39
gmtp,0,39
ifmp,0,39
pnni,0,39
aris,0,39
pim,0,64
qnx,0,39
scps,0,39
a/n,0,39
ipcomp,0,39
compaq-peer,0,39
ipx-n-ip,0,39
snp,0,39
vrrp,0,39
pgm,0,39
zero,0,39
l2tp,0,39
ddx,0,39
iatp,0,39
stp,0,39
srp,0,39
uti,0,39
sm,0,39
smp,0,39
fire,0,39
isis,0,39
ptp,0,39
crtp,0,39
crudp,0,39
sccopmce,0,39
iplt,0,39
sps,0,39
pipe,0,39
fc,0,39
ib,0,39
